"fold","clinical","clinical_spca","n_gene","gain"
1,0.648767605633803,0.669014084507042,10,0.0202464788732395
2,0.700984780662489,0.766338406445837,10,0.0653536257833482
3,0.673815907059875,0.749776586237712,10,0.0759606791778374
4,0.662727272727273,0.752727272727273,10,0.09
5,0.697633654688869,0.746713409290096,10,0.049079754601227
6,0.665467625899281,0.705035971223022,10,0.0395683453237411
7,0.765185856754306,0.786944696282865,10,0.0217588395285585
8,0.666666666666667,0.709447415329768,10,0.0427807486631017
9,0.71563981042654,0.790521327014218,10,0.0748815165876777
10,0.669144981412639,0.664498141263941,10,-0.00464684014869876
